Brand,Brand_Style,ABV,Calories,Fat_grams,Calories_from_fat,Saturated_fat_grams,Trans_fat_grams,Cholesterol_mg,Sodium_mg,Carbs_mg,Fiber_grams,Sugars_grams,Protein_grams,Ingredients
Revolver Blood & Honey Ale,American Ale,7,212,0,0,0,0,0,90,17.6,0,0,2.1,"Water, Barley Malt, Wheat, Orange Peel, Spices, Honey, Yeast, Hops"
Revolver Full Tang,West Coast IPA,7.2,209,0,0,0,0,0,75,15.5,0,1,1.8,"Water, Malted Barley, Yeast, Hops, Fresh, Frozen Tangerine Peel"
Revolver Hop Device IPA,Hazy IPA,5.2,188,0,0,0,0,0,65,20.8,0,1,2,"Water, Barley Malt, Wheat, Oats, Yeast, Hops"
Revolver Long Range Pils,German Style Pilsner,4.8,149,0,0,0,0,0,60,12.4,0,0,1.4,"Water, Barley Malt, Yeast, Hops"
Revolver Mi Cheve,Mexican Lager,4.8,154,0,0,0,0,0,60,13.2,0,0,1.1,"Water, Barley Malt, Flaked Maize, Yeast, Hops"
Revolver Sidewinder Ale,Southwest Pale Ale,6,198,0,0,0,0,0,115,18.5,0,0,1.8,"Water, Barley Malt, Cumin, Lime Peel, Agave, Lemon Peel, Yeast, Hops"
Saint Archer Blackberry Gose,German-Style Gose,4,134,0,0,0,0,0,90,12.3,0,0,1.5,"Malt, Wheat, Lactobacillus, Blackberry Puree, Blackberry Juice Concentrate, Coriander, Salt, Yeast, Hops"
Saint Archer Blonde Ale,German-Style Kolsch Ale,4.8,149,0,0,0,0,0,15,12.6,0,0,1.4,"Water, Barley Malt, Wheat, Yeast, Hops"
Saint Archer Citra 7 IPA,American-Style IPA,7,202,0,0,0,0,0,50,14.5,0,0,2.2,"Water, Barley Malt, Wheat, Yeast, Hops"
Saint Archer Double IPA,American-Style Imperial IPA,8.3,233,0,0,0,0,0,30,15.3,0,0,1.9,"Water, Barley Malt, Yeast, Hops"
Saint Archer English Brown Ale Nitro,English-Style Mild Ale,4.2,142,0,0,0,0,0,15,14.2,0,0,1.1,"Water, Barley Malt, Wheat, Yeast, Hops"
Saint Archer Gold,Light Lager,4.2,95,0,0,0,0,0,0,2.6,0,0,<1.0,"Water, Barley Malt, Corn Syrup (Dextrose -not High-Fructose Corn Syrup), Yeast, Hops"
Saint Archer Gose,German-Style Gose,4,133,0,0,0,0,0,95,11.7,0,0,1.8,"Water, Barley Malt, Wheat, Lactobacillus, Coriander, Salt, Yeast, Hops"
Saint Archer Hazy IPA,Hazy IPA,6.2,186,0,0,0,0,0,15,13.9,0,0,1.5,"Water, Barley Malt, Oats, Wheat, Yeast, Hops"
Saint Archer Hoppy Pilsner,Czech-Style Pilsner,5.1,163,0,0,0,0,0,25,14.7,0,0,1.3,"Water, Barley Malt, Yeast, Hops"
Saint Archer IPA,American-Style IPA,7,206,0,0,0,0,0,15,14.7,0,2,2.4,"Water, Barley Malt, Yeast, Hops"
Saint Archer Mexican Lager,Mexican Lager,4.8,152,0,0,0,0,0,20,13,0,0,1.5,"Water, Barley Malt, Corn, Dextrose, Yeast, Hops"
Saint Archer Mosaic IPA,American-Style Imperial IPA,9,251,0,0,0,0,0,20,16.2,0,0,2.5,"Water, Barley Malt, Wheat, Yeast, Hops"
Saint Archer Pale Ale,American Pale Ale,5.5,170,0,0,0,0,0,20,13.7,0,0,1.5,"Water, Barley Malt, Yeast, Hops"
Saint Archer Peach Gose,German-Style Gose,4,127,0,0,0,0,0,75,11.5,0,0,1.5,"Water, Barley Malt, Wheat, Lactobacillus, Peach Puree, Coriander, Salt, Yeast, Hops"
Saint Archer Razzleberry Gose,German-Style Gose,4,133,0,0,0,0,0,85,13.3,0,0,1.2,"Water, Barley Malt, Wheat, Lactobacillus, Blackberry Puree, Raspberry Puree, Coriander, Salt, Yeast, Hops"
Saint Archer Tropical IPA,Blank,7,195,0,0,0,0,0,15,14,TBD,1,1.2,"Water, Barley Malt, Yeast, Hops, Passionfruit Puree, Mango Puree"
Saint Archer White Ale,Belgian-Style Witbier,5,155,0,0,0,0,0,15,13.2,0,0,1.4,"Water, Barley Malt, Yeast, Hops"
Sharp's,Non-Alcoholic Lager,< 0.5,58,0,0,0,0,0,0,12.1,0,8,< 1.0,"Water, Barley Malt,Corn Syrup (Dextrose, Maltose), Yeast, Hops,"
Hop ExtractSheaf Stout,Foreign Extra (Export) Stout,5.7,190,0,0,0,0,0,80,18.7,0,0,1.1,"Water, Barley Malt,Sucrose Syrup, Yeast, Hops, Hop Extract"
Smith & Forge Hard Cider,Hard Apple Cider,6,220,0,0,0,0,0,10,23,0,18,0,"Hard Apple Cider,Apple Juice Concentrate, Natural Flavor, Malic Acid, Contains Sulfites"
Sol,Mexican Lager,4.5,138,0,0,0,0,0,20,11.6,0,0,< 1.0,"Water, Barley Malt, Corn Syrup (Maltose), Yeast, Hops"
Sol Chelada,Chelada,3.5,158,0,0,0,0,0,620,20.3,0,5,1.8,"Water, Barley Malt, Corn Syrup (Maltose), Yeast, Hops, Tomato Paste, Inverted Sugar, Citric Acid, Tartaric Acid, Yeast Extract, Black Carrot (for color),Monosodium Glutamate, Salt and Natural Flavors."
Sparks,Flavored Malt Beverage,6,252,0,0,0,0,0,30,33.9,0,30,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Natural Flavor, Certified Color, FD&C Yellow Number 5, Sodium Benzoate & Potassium Sorbate (added for freshness)"
